PlotViewID,CountryName,ContinentName,Altitude,LatitudeDecimal,LongitudeDecimal,PlotArea,AllometricRegionID
40,PERU,South America,190,-12.53783,-69.05993,1,8
848,PERU,South America,190,-12.53783,-69.05993,0.159999996,8
41,PERU,South America,190,-12.53992,-69.05783,1,8
70,PERU,South America,347,-11.87849,-71.40863,2,8
707,PERU,South America,414,-10.34121,-75.2529,1,8
1119,PERU,South America,312,-11.88748,-71.40596,2.25,8
1117,PERU,South America,312,-11.88748,-71.40596,2.25,8
1121,PERU,South America,312,-11.88748,-71.40596,2.25,8
1152,PERU,South America,312,-11.88748,-71.40596,0.97299999,8
1157,PERU,South America,312,-11.88748,-71.40596,0.97299999,8
36,VENEZUELA,South America,2450,8.58333,-71.41667,0.25,8
355,VENEZUELA,South America,141,7.46322,-71.01307,0.25,8
971,VENEZUELA,South America,141,7.46322,-71.01307,0.25,8
1652,VENEZUELA,South America,141,7.46322,-71.01307,0.25,8
